date_nr,Portfolio Value,Cash Value,SUPN Position 1 Value,SUPN Position 2 Value,TR Position 1 Value,SUPN Position 3 Value,TR Position 2 Value,SUPN Position 4 Value,NOK Position 1 Value,IRDM Position 1 Value,NEP Position 1 Value,MTZ Position 1 Value,CPB Position 1 Value,BOX Position 1 Value,ABEV Position 1 Value,FLEX Position 1 Value,ELP Position 1 Value,FLEX Position 2 Value,LEG Position 1 Value,Scaled ^GSPC,Investment Value
2387,10000.0,8008.78,1991.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0
2388,9999.340056,4052.0599999999995,1990.56,1990.56,1966.1600559999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9996.45923304404,10000.0
2389,9958.500113,84.70999999999958,1974.06,1974.06,1958.3200560000002,1974.06,1993.2900570000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10041.178839710328,10000.0
2390,10037.919802,84.70999999999958,1983.959934,1983.959934,1982.9599999999998,1983.959934,2018.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10164.37410940447,10000.0
2391,10041.270112999999,84.70999999999958,1973.3999999999999,1973.3999999999999,2000.3200560000002,1973.3999999999999,2036.0400570000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10176.273316683764,10045.833333333334
2392,9861.790087,25.64999999999958,1948.9800659999999,1948.9800659999999,1947.6799439999998,1948.9800659999999,1982.4599429999998,59.060002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10156.243169467012,10045.833333333334
2393,9783.8202,25.64999999999958,1948.9800659999999,1948.9800659999999,1909.0400000000002,1948.9800659999999,1943.13,59.060002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10075.780218887287,10045.833333333334
2394,9747.0598,25.64999999999958,1956.239934,1956.239934,1879.92,1956.239934,1913.49,59.279998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10046.912094272056,10045.833333333334
2395,9742.119886999999,25.64999999999958,1968.78,1968.78,1858.639944,1968.78,1891.829943,59.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10071.07518001107,10045.833333333334
2396,9968.969687,25.64999999999958,2026.859934,2026.859934,1883.8399440000003,2026.859934,1917.4799430000003,61.419998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10138.976495650171,10045.833333333334
2397,10003.81,25.64999999999958,2013.0,2013.0,1921.92,2013.0,1956.24,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10214.118816327722,10045.833333333334
2398,9967.460087,25.64999999999958,1999.140066,1999.140066,1924.719944,1999.140066,1959.089943,60.580002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.633970574045,10045.833333333334
2399,9892.859973999999,25.64999999999958,1981.9800659999999,1981.9800659999999,1913.519888,1981.9800659999999,1947.689886,60.060002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10290.08192808513,10045.833333333334
2400,9755.91,2.549999999999578,1942.3799999999999,1942.3799999999999,1905.1200000000001,1942.3799999999999,1939.14,58.86,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10329.754129594614,10045.833333333334
2401,9902.680113,2.549999999999578,1974.72,1974.72,1929.2000560000001,1974.72,1963.650057,59.84,23.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10403.273831616792,10045.833333333334
2402,10042.929999999998,2.549999999999578,2001.1200000000001,2001.1200000000001,1958.8799999999999,2001.1200000000001,1993.86,60.64,23.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10427.803819939796,10045.833333333334
2403,10149.549999999997,2.549999999999578,2022.8999999999999,2022.8999999999999,1979.0400000000002,2022.8999999999999,2014.38,61.3,23.580000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10357.344230954684,10045.833333333334
2404,10067.030199999997,2.549999999999578,2020.260066,2020.260066,1942.08,2020.260066,1976.76,61.220002,23.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10360.70099048071,10045.833333333334
2405,9880.5698,2.549999999999578,1983.299934,1983.299934,1905.1200000000001,1983.299934,1939.14,60.099998,23.759999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10402.497652620556,10045.833333333334
2406,9917.590086999999,2.549999999999578,1998.4800659999999,1998.4800659999999,1900.639944,1998.4800659999999,1934.579943,60.560002,23.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10431.77728505159,10045.833333333334
2407,9954.9002,2.549999999999578,1992.540066,1992.540066,1928.08,1992.540066,1962.51,60.380002,23.759999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10430.15578095603,10045.833333333334
2408,9917.679687,2.549999999999578,1988.579934,1988.579934,1915.7599440000001,1988.579934,1949.9699430000003,60.259998,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10363.145512491817,10045.833333333334
2409,9935.179774,2.549999999999578,2007.72,2007.72,1895.599888,2007.72,1929.4498859999999,60.84,23.580000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10465.511034229385,10045.833333333334
2410,10103.370312999998,2.549999999999578,2025.540066,2025.540066,1952.1600559999997,2025.540066,1987.0200569999997,61.380002,23.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10480.881866929416,10045.833333333334
2411,10296.650086999998,2.549999999999578,2091.540066,2091.540066,1948.7999439999999,2091.540066,1983.599943,63.380002,23.700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10452.949397004824,10091.876736111113
2412,10314.670087,6340.5502,0.0,0.0,1957.7599440000001,0.0,1992.7199430000003,0.0,23.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10308.285373436358,10091.876736111113
2413,10245.439974,6340.5502,0.0,0.0,1923.599888,0.0,1957.9498859999999,0.0,23.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10282.020131966823,10091.876736111113
2414,5878.610153,2.549999999999578,0.0,0.0,1915.2000560000001,0.0,1949.400057,0.0,23.46,1988.00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10227.524661807858,10091.876736111113
2415,9807.520213,2.549999999999578,0.0,0.0,1920.2400559999999,0.0,1954.5300569999997,0.0,23.4,1994.40004,1989.60008,1922.79998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10319.81879269147,10091.876736111113
2416,10016.909797,2.549999999999578,0.0,0.0,1882.719944,0.0,1916.339943,0.0,23.4,1981.19996,1923.6000000000001,1853.99994,433.10001,0.0,0.0,0.0,0.0,0.0,0.0,10276.286877405095,10091.876736111113
