date_nr,Portfolio Value,Cash Value,CCOI Position 1 Value,IRDM Position 1 Value,IRDM Position 2 Value,MTZ Position 1 Value,NEP Position 1 Value,CPB Position 1 Value,DKL Position 1 Value,FTNT Position 1 Value,VGR Position 1 Value,DFS Position 1 Value,IRDM Position 3 Value,TTC Position 1 Value,NYCB Position 1 Value,BLDR Position 1 Value,ABEV Position 1 Value,BIP Position 1 Value,ROIC Position 1 Value,NOK Position 1 Value,AEIS Position 1 Value,VSH Position 1 Value,HI Position 1 Value,APPF Position 1 Value,FLEX Position 1 Value,FLEX Position 2 Value,ERF Position 1 Value,ERF Position 2 Value,RRC Position 1 Value,FLEX Position 3 Value,HUM Position 1 Value,LEG Position 1 Value,HAE Position 1 Value,AGI Position 1 Value,AGI Position 2 Value,Scaled ^GSPC,Investment Value
2413,9999.99999,6069.450000000001,1980.160068,1950.389922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0
2414,10012.050113000001,4081.4500000000007,2004.300034,1938.300039,1988.00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9946.99925748099,10000.0
2415,10018.570139000001,169.0500000000004,1998.18,1944.540039,1994.40004,1922.79998,1989.60008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10036.76190110456,10000.0
2416,9836.959864,39.1200000000004,1977.4399999999998,1931.6699609999998,1981.19996,1853.99994,1923.6000000000001,129.930003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9994.42399986759,10000.0
2417,9921.770235000002,39.1200000000004,1984.240034,1946.100078,1996.00008,1865.20004,1959.1999999999998,131.91000300000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9924.075943748423,10000.0
2418,10233.030186,39.1200000000004,2242.9800339999997,1985.100078,2036.00008,1881.3999999999999,1916.3999999999999,132.02999400000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9926.564047557964,10000.0
2419,10231.750168999999,2282.100034,0.0,1985.100078,2036.00008,1882.40006,1913.99992,132.14999699999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9915.945678707261,10000.0
2420,10181.400253,2282.100034,0.0,1971.060039,2021.6000399999998,1889.60006,1886.00008,131.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9972.967083536805,10000.0
2421,10115.789906,24.290000000000305,0.0,1960.9199609999998,2011.19996,1875.8000200000001,1856.79992,128.97000599999998,1961.9600489999998,295.84999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9857.770243050245,10000.0
2422,10051.959805,3.1300000000003045,0.0,1930.889922,1980.39992,1871.79992,1870.8000000000002,128.759994,1954.120049,290.9,21.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9783.290893311285,10000.0
2423,9859.950126,3.1300000000003045,0.0,1894.23,1942.8,1861.6000399999998,1798.00004,127.10999699999999,1925.2100489999998,287.04999999999995,20.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9707.833221164186,10000.0
2424,9924.829967,3.1300000000003045,0.0,1880.189961,1928.3999600000002,1883.20008,1851.19996,128.490006,1943.34,285.79999999999995,21.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9706.389600861998,10000.0
2425,9939.929742000002,3.1300000000003045,0.0,1885.649922,1933.99992,1906.3999999999999,1790.8000000000002,126.180003,1980.579902,291.949995,21.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9773.161685664652,10000.0
2426,9953.150068000003,3.1300000000003045,0.0,1872.7800000000002,1920.8000000000002,1940.20004,1799.60008,125.66999700000001,1978.129951,291.6,21.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9746.017053903062,10000.0
2427,10086.509919000002,3.1300000000003045,0.0,1892.6699609999998,1941.19996,1941.6000399999998,1868.3999600000002,125.370003,1996.75,295.949995,21.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9853.660642540908,10000.0
2428,10002.909922000003,3.1300000000003045,0.0,1873.1699609999998,1921.19996,1913.20008,1891.99996,125.31,1962.449951,290.75001,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9721.050327354978,10000.0
2429,10075.480001,3.1300000000003045,0.0,1864.199961,1911.99996,1927.40006,1931.99996,126.240006,1994.300049,294.050005,22.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9786.356012534561,10000.0
2430,10174.969895999999,3.1300000000003045,0.0,1880.9699999999998,1929.1999999999998,1975.59998,1944.79996,126.69,1999.199951,293.500005,21.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9847.663812503206,10000.0
2431,10348.040011000001,3.1300000000003045,0.0,1891.5,1940.0,2015.0,2027.59996,126.83999699999998,2018.800049,303.150005,22.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9990.536743744618,10000.0
2432,10335.750179000002,3.1300000000003045,0.0,1895.790039,1944.40004,1988.6000000000001,2000.0,125.879997,2049.670098,306.100005,22.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10028.832289560602,10000.0
2433,10348.500077,3.1300000000003045,0.0,1909.050039,1958.00004,1989.79996,1995.20004,125.100003,2045.75,301.049995,21.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10012.816880964236,10000.0
2434,10449.919853000001,3.1300000000003045,0.0,1931.6699609999998,1981.19996,1989.40002,1963.99992,122.66999700000001,2131.5,304.349995,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10030.83123438736,10045.833333333334
2435,10290.910142,2134.63,0.0,1902.810039,1951.6000399999998,1912.20002,1935.20004,123.66000300000002,0.0,309.54999999999995,21.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9988.760145525514,10045.833333333334
2436,10219.920171999998,2134.63,0.0,1900.860078,1949.60008,1877.40006,1901.99996,123.299994,0.0,311.15,20.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9919.122511007647,10045.833333333334
2437,10086.399874,314.28000000000026,0.0,1859.129922,1906.79992,1849.60006,1900.8000000000002,125.46000000000001,0.0,0.0,20.74,1966.579978,143.009994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9887.269572433815,10045.833333333334
2438,10091.179958,314.28000000000026,0.0,1857.179961,1904.79996,1834.79996,1919.60008,126.53999999999999,0.0,0.0,20.58,1970.54,142.859997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9901.374974402223,10045.833333333334
2439,10115.529845000003,3.1300000000003045,0.0,1859.129922,1906.79992,1806.6000399999998,1948.80004,128.16000300000002,0.0,0.0,20.64,1971.859934,143.009994,327.399992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9967.946405707677,10045.833333333334
2440,10061.610154000002,3.1300000000003045,0.0,1857.570039,1905.20004,1763.6000000000001,1949.60008,127.740006,0.0,0.0,21.48,1961.079978,142.890003,329.320008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9911.170122364094,10045.833333333334
2441,10024.389791,3.1300000000003045,0.0,1878.629922,1926.79992,1674.1999799999999,1967.2,128.16000300000002,0.0,0.0,21.38,1950.7399560000001,144.509994,329.640016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9923.476151235094,10045.833333333334
2442,10192.040144,3.1300000000003045,0.0,1884.090039,1932.40004,1743.80004,2017.59996,130.47000599999998,0.0,0.0,21.66,1981.7600439999999,144.930003,332.200012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10007.130251743856,10045.833333333334
2443,10081.349789000002,3.1300000000003045,0.0,1854.449961,1901.99996,1687.79998,2036.79992,129.120003,0.0,0.0,21.64,1974.279956,142.64999699999998,329.480012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9885.447420015527,10045.833333333334
2444,10219.809869,3.1300000000003045,0.0,1956.629922,2006.79992,1677.20002,2002.8,128.16000300000002,0.0,0.0,21.72,1946.3400219999999,150.509994,326.519988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9892.577671759384,10045.833333333334
2445,10241.159819,153.6399940000003,0.0,1980.4199609999998,2031.19996,1665.39994,1986.3999999999999,126.96000000000001,0.0,0.0,21.72,1953.8199559999998,0.0,321.600008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9871.298631826208,10045.833333333334
2446,10018.030095000002,153.6399940000003,0.0,1899.689961,1948.3999600000002,1640.8000200000001,1956.00008,128.04,0.0,0.0,21.54,1950.520088,0.0,319.399992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9778.559807178164,10045.833333333334
2447,9770.680049000002,3.1300000000003045,0.0,1846.2600000000002,1893.6000000000001,1562.59994,1914.40004,128.700006,0.0,0.0,21.6,1926.100066,0.0,320.0,33.269999999999996,121.019997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9618.182292839012,10045.833333333334
2448,9851.249999000001,3.1300000000003045,0.0,1885.2600000000002,1933.6000000000001,1531.99996,1953.6000000000001,127.83000299999999,0.0,0.0,21.3,1918.1800440000002,0.0,321.119996,33.39,121.839996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9596.102809116597,10045.833333333334
2449,9705.540114000001,3.1300000000003045,0.0,1845.870078,1893.20008,1470.0,1937.59996,125.94,0.0,0.0,21.08,1926.54,0.0,325.28,33.81,123.089996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9634.708553528611,10045.833333333334
2450,9547.010210000002,3.1300000000003045,0.0,1819.350078,1866.00008,1445.39994,1876.00008,125.27999400000002,0.0,0.0,20.76,1910.920022,0.0,324.480012,33.78,121.910004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9492.74561339656,10045.833333333334
2451,9071.329873,2.48000000000019,0.0,1778.399922,1823.99992,1458.00004,1498.3999600000002,124.379997,0.0,0.0,21.1,1875.720044,0.0,328.959992,34.05,123.309998,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9494.92243462093,10045.833333333334
2452,8804.510008,2.48000000000019,0.0,1769.429961,1814.79996,1456.3999999999999,1221.60004,123.77999400000002,0.0,0.0,21.38,1899.2600439999999,0.0,332.760008,33.839999999999996,126.220001,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9550.877662832669,10045.833333333334
2453,8767.460148,2.48000000000019,0.0,1774.110078,1819.60008,1439.40002,1188.00004,123.240006,0.0,0.0,21.28,1905.859934,0.0,332.399992,34.019999999999996,124.489998,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9524.998777196946,10045.833333333334
2454,8518.860193999997,2.48000000000019,0.0,1731.600078,1776.00008,1391.3999999999999,989.5999999999999,118.5,0.0,0.0,20.98,1998.2600439999999,0.0,331.399992,33.089999999999996,123.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9525.754752997429,10091.876736111113
2455,8267.810146999998,2.48000000000019,0.0,1709.370078,1753.20008,1338.6000000000001,925.59996,119.60999699999999,0.0,0.0,20.78,1919.720044,0.0,326.519988,32.25,117.18,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9394.83209561051,10091.876736111113
2456,8332.669956,2.48000000000019,0.0,1737.840039,1782.40004,1365.59998,895.19996,119.759994,0.0,0.0,20.78,1921.699956,0.0,331.519988,32.7,120.139999,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9471.021882469362,10091.876736111113
2457,8289.47013,2.48000000000019,0.0,1749.540039,1794.40004,1359.40002,840.0,117.509994,0.0,0.0,21.22,1917.300044,0.0,331.679992,33.480000000000004,119.970001,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9458.671383388313,10091.876736111113
2458,8364.530070000003,2.48000000000019,0.0,1727.310039,1771.6000399999998,1377.79998,901.99996,118.379997,0.0,0.0,21.6,1951.1800440000002,0.0,337.480012,32.849999999999994,119.309998,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9570.424574756786,10091.876736111113
2459,8284.419874,2.48000000000019,0.0,1733.159961,1777.59996,1331.3999999999999,823.1999999999999,120.72000599999998,0.0,0.0,22.16,1979.779956,0.0,339.959992,32.79,118.639999,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9630.755136306427,10091.876736111113
2460,8413.77976,2.48000000000019,0.0,1719.899922,1763.99992,1396.19996,881.20004,118.680003,0.0,0.0,22.12,2009.479912,0.0,341.160004,32.82,123.139999,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9680.912019999389,10091.876736111113
2461,8256.22997,2.48000000000019,0.0,1653.9899999999998,1696.3999999999999,1340.39994,920.4000000000001,118.28999999999999,0.0,0.0,22.14,1996.720044,0.0,344.359984,32.76,125.690002,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9722.472254546712,10091.876736111113
2462,8124.150132000001,346.8399840000002,0.0,1633.320039,1675.20004,1330.0,856.0,114.180003,0.0,0.0,21.72,1996.060066,0.0,0.0,31.86,116.43,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9661.741469991806,10091.876736111113
2463,8127.330042000001,346.8399840000002,0.0,1656.7199999999998,1699.1999999999998,1275.80002,890.8,119.129997,0.0,0.0,21.72,1966.800044,0.0,0.0,31.5,116.269997,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9613.250553208689,10091.876736111113
2464,8209.739957,2.48000000000019,0.0,1674.27,1717.2,1308.6000000000001,888.39996,120.299994,0.0,0.0,21.78,1998.04,0.0,0.0,32.22,117.980003,2.56,325.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9715.096881316897,10091.876736111113
2465,8406.350051,2.48000000000019,0.0,1718.340039,1762.40004,1375.8000200000001,872.8,118.89000300000001,0.0,0.0,21.98,2046.439934,0.0,0.0,32.58,118.150002,2.52,333.970013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9714.142419997488,10091.876736111113
2466,8321.209944999999,2.48000000000019,0.0,1707.0300000000002,1750.8000000000002,1325.0,910.0,119.52000000000001,0.0,0.0,21.94,2020.699956,0.0,0.0,31.410000000000004,111.900002,2.45,317.979987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9583.974656643202,10091.876736111113
2467,7805.179829,2.48000000000019,0.0,1551.4199609999998,1591.19996,1280.0,913.1999999999999,119.33999699999998,0.0,0.0,21.72,1860.979912,0.0,0.0,31.410000000000004,111.389999,2.45,307.71000000000004,11.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9502.675253756419,10091.876736111113
2468,7572.440033,2.48000000000019,0.0,1500.7199999999998,1539.1999999999998,1223.1999999999998,896.0,119.16000300000002,0.0,0.0,21.44,1808.1800440000002,0.0,0.0,30.299999999999997,109.279999,2.46,301.85998700000005,11.8,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9383.081389042789,10091.876736111113
2469,7570.500064000001,2.48000000000019,0.0,1484.73,1522.8,1251.4,896.8000000000001,118.52999400000002,0.0,0.0,20.94,1812.140066,0.0,0.0,30.299999999999997,110.910004,2.45,299.0,11.7,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9367.26554995449,10091.876736111113
2470,7615.979983000001,2.48000000000019,0.0,1473.0300000000002,1510.8000000000002,1216.8000000000002,1030.8,118.799994,0.0,0.0,21.22,1783.54,0.0,0.0,30.93,110.510002,2.5,296.399987,11.73,6.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9435.326155761317,10091.876736111113
2471,7512.1098839999995,2.48000000000019,0.0,1440.659961,1477.59996,1188.39996,1038.00004,122.700006,0.0,0.0,20.98,1773.199956,0.0,0.0,30.299999999999997,106.220001,2.46,291.46000000000004,11.23,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9300.027083268646,10091.876736111113
2472,7618.659903999999,2.48000000000019,0.0,1435.199961,1471.99996,1220.59998,1117.2,122.78999999999999,0.0,0.0,20.74,1778.04,0.0,0.0,29.61,107.120003,2.5,292.5,11.4,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9189.984326798776,10091.876736111113
2473,7475.969943,2.48000000000019,0.0,1405.949961,1441.99996,1183.00004,1098.00004,121.319997,0.0,0.0,20.28,1770.779956,0.0,0.0,27.81,106.260002,2.44,278.06998699999997,11.08,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9145.869827342702,10091.876736111113
