start10000_date2972,Value
Total Return,-12.601901212601907
Beta,1.2645912841206992
Alpha,-0.11109110203024457
Standard Deviation,4.360038158407447
Sharpe Ratio,-0.004669833181909523
Information Ratio,-0.026169734921174245
average_risk_free_rate,0.00022126436781609438
GSPC,14.109405642299432
CD,3.2527864518421046
