Ticker,Date,Price,sell_price,sell_date,closest_above,Earnings Offset Closest,average_duration,total_days_below_threshold,63d %,daily delta,Pwin,date_number_buy,date_number_sell
CGNX,2022-01-05,73.02,79.96,2022-03-29,-44,-30.0,17.0,51.0,-0.2039681674479451,-0.0332318284125513,81.7073,2018,2075.0
ALNY,2022-01-06,151.0,162.51,2022-03-01,-9,-24.0,6.0,92.0,-0.2785130679917816,-0.0263717841253465,92.1053,2019,2055.0
ADSK,2022-01-06,264.11,,,-34,30.0,10.0,52.0,-0.2083982735882986,-0.0007944915254236,96.4286,2019,
CGNX,2022-01-06,72.85,79.96,2022-03-29,-43,-29.0,14.0,57.0,-0.2058214324648425,-0.0023281292796494,80.7229,2019,2075.0
VICR,2022-01-06,120.0,,,-29,-33.0,16.0,66.0,-0.2634873872215062,-0.025499431541335,84.2105,2019,
ADBE,2022-01-06,514.12,546.17,2023-07-31,-17,14.0,1.0,17.0,-0.2531342156107907,-0.0006026087125555,91.6667,2019,2410.0
WOLF,2022-01-06,113.05,121.45,2022-03-29,-35,-13.0,8.0,117.0,-0.2031437231268062,-0.012318713961209,88.0952,2019,2075.0
MANH,2022-01-06,140.9,148.31,2022-08-10,-40,-17.0,12.0,72.0,-0.2387487168404559,-0.0041699060004241,93.4426,2019,2167.0
AZTA,2022-01-06,95.26,,,-32,-22.0,8.0,93.0,-0.2327023761578734,-0.0002099076406381,97.0149,2019,
GMAB,2022-01-06,36.31,38.17,2022-04-05,-41,-28.0,12.0,85.0,-0.2294142614601018,-0.0301816239316238,89.5833,2019,2080.0
CRL,2022-01-06,333.94,357.95,2022-01-11,-45,-28.0,14.0,71.0,-0.2557279129892128,-0.0041154717881426,81.25,2019,2022.0
NFLX,2022-01-06,553.29,593.46,2024-02-15,-34,-9.0,0.0,0.0,-0.2000896355303677,-0.0250740062024246,95.7143,2019,2548.0
SPSC,2022-01-06,125.82,134.11,2022-03-18,-48,-23.0,6.0,42.0,-0.2732208872458411,-0.0089011421819614,96.7213,2019,2068.0
DXCM,2022-01-06,120.75,128.8225,2022-03-29,-31,-24.0,9.0,55.0,-0.2583607161502318,-0.0098603964658371,95.0,2019,2075.0
EPAM,2022-01-07,556.68,,,-9,-28.0,12.0,25.0,-0.2241285592830563,-0.0386322424661083,100.0,2020,
AZTA,2022-01-07,93.59,,,-33,-21.0,8.0,93.0,-0.2461538461538461,-0.0175309678773881,95.5882,2020,
VICR,2022-01-07,115.94,,,-28,-32.0,16.0,66.0,-0.2884060639538452,-0.0338333333333333,84.2105,2020,
DXCM,2022-01-07,117.8725,123.77,2022-03-28,-29,-23.0,9.0,55.0,-0.2760341491877284,-0.0238302277432711,94.0,2020,2074.0
ADBE,2022-01-07,510.7,546.17,2023-07-31,-18,15.0,1.0,17.0,-0.2581024739602249,-0.0066521434684509,84.6154,2020,2410.0
ADSK,2022-01-07,262.32,,,-35,31.0,10.0,52.0,-0.213763337729289,-0.0067774790806861,93.1034,2020,
MANH,2022-01-07,139.42,148.31,2022-08-10,-38,-16.0,12.0,72.0,-0.2467448268409963,-0.0105039034776438,91.9355,2020,2167.0
SPSC,2022-01-07,119.66,127.91,2022-02-09,-34,-22.0,6.0,42.0,-0.3088031423290204,-0.0489588300747099,95.082,2020,2042.0
HUM,2022-01-07,363.17,385.18,2022-01-10,-2,-17.0,4.0,19.0,-0.225683339729649,-0.0118629771719314,90.9091,2020,2021.0
AVAV,2022-01-07,62.53,71.05,2022-02-28,-23,22.0,9.0,122.0,-0.3427580407820054,-0.0091903026461733,83.4783,2020,2054.0
TECH,2022-01-07,103.82,111.4,2022-03-18,-47,-16.0,1.0,1.0,-0.2090808669485392,-0.0263984620434192,100.0,2020,2068.0
SSTK,2022-01-07,98.8,,,-36,-23.0,13.0,41.0,-0.2159974607205205,-0.0286107560711827,93.7984,2020,
ALNY,2022-01-07,148.13,157.85,2022-02-28,-10,-23.0,6.0,92.0,-0.2922260977590902,-0.0190066225165562,91.5033,2020,2054.0
GMAB,2022-01-07,36.29,38.17,2022-04-05,-42,-27.0,12.0,85.0,-0.2298387096774193,-0.0005508124483614,87.7551,2020,2080.0
NFLX,2022-01-07,541.06,570.42,2024-01-26,-33,-8.0,1.0,1.0,-0.2177709667625672,-0.0221041406857164,94.3662,2020,2534.0
DXCM,2022-01-10,115.585,122.595,2022-01-12,-30,-22.0,9.0,55.0,-0.2900838374842612,-0.0194065621752317,93.0693,2021,2023.0
NYT,2022-01-10,42.5,44.69,2022-03-03,-47,-16.0,5.0,58.0,-0.2383512544802867,-0.0049168812924373,100.0,2021,2057.0
EPAM,2022-01-10,545.85,,,-10,-27.0,8.0,26.0,-0.2392228463114468,-0.0194546238413449,95.8333,2021,
POWI,2022-01-10,85.05,89.41,2022-02-09,-34,-17.0,2.0,26.0,-0.2190082644628099,-0.0007049700387733,91.6667,2021,2042.0
LULU,2022-01-10,348.43,376.92,2022-03-30,-25,21.0,8.0,74.0,-0.270929672950974,-0.0190873004701443,91.5663,2021,2076.0
AZTA,2022-01-10,91.6,,,-29,-20.0,8.0,93.0,-0.2621828433346759,-0.0212629554439577,94.2029,2021,
HRI,2022-01-10,155.6,168.53,2022-01-13,-39,-22.0,17.0,120.0,-0.2076989663424817,-0.0095480585614258,82.9268,2021,2024.0
MTN,2022-01-10,296.84,,,-44,21.0,0.0,0.0,-0.2031354862956699,-0.0366091133324679,80.0,2021,
PODD,2022-01-10,240.7,253.19,2022-02-02,-34,-30.0,7.0,42.0,-0.2437714034371172,-0.037507997440819,92.7711,2021,2037.0
AVAV,2022-01-10,62.25,71.05,2022-02-28,-24,23.0,9.0,122.0,-0.3457010721042673,-0.0044778506316968,82.7586,2021,2054.0
SSTK,2022-01-10,98.78,,,-37,-22.0,10.0,43.0,-0.216156165687986,-0.0002024291497975,93.0769,2021,
BX,2022-01-10,114.72,121.3,2022-01-11,-29,-12.0,14.0,59.0,-0.2294465341214401,-0.0165452207458208,87.8049,2021,2022.0
CALX,2022-01-10,57.56,62.07,2022-08-25,-4,-11.0,11.0,66.0,-0.2802300862823558,-0.0364914630063608,86.5854,2021,2178.0
DECK,2022-01-10,331.71,348.89,2022-09-08,-29,-17.0,19.0,76.0,-0.2431895961670089,-0.0188997338065661,86.1538,2021,2187.0
PEGA,2022-01-10,98.69,104.07,2022-01-11,-51,-26.0,8.0,81.0,-0.2449697804299595,-0.0052414071162181,97.9167,2021,2022.0
NFLX,2022-01-10,539.85,570.42,2024-01-26,-34,-7.0,1.0,1.0,-0.219520305339097,-0.0022363508668168,93.0556,2021,2534.0
VICR,2022-01-10,111.75,,,-26,-31.0,16.0,66.0,-0.3141226293500276,-0.0361393824391926,83.4783,2021,
MWA,2022-01-10,13.79,14.94,2023-05-05,-43,-17.0,18.0,90.0,-0.2056451612903226,-0.0064841498559079,95.0,2021,2352.0
MWA,2022-01-11,13.77,14.94,2023-05-05,-44,-16.0,18.0,90.0,-0.2067972350230414,-0.0014503263234227,90.4762,2022,2352.0
LULU,2022-01-11,346.75,376.92,2022-03-30,-24,22.0,8.0,74.0,-0.2744449791801804,-0.0048216284476078,90.4762,2022,2076.0
CALX,2022-01-11,57.18,62.07,2022-08-25,-5,-10.0,11.0,66.0,-0.2849818682005752,-0.0066018068102849,85.5422,2022,2178.0
AVAV,2022-01-11,62.0,71.05,2022-02-28,-25,24.0,9.0,122.0,-0.3483287786420013,-0.0040160642570281,82.0513,2022,2054.0
MWA,2022-01-12,13.73,14.94,2023-05-05,-45,-15.0,18.0,90.0,-0.2091013824884792,-0.0029048656499636,86.3636,2023,2352.0
FCFS,2022-01-12,72.75,76.66,2022-02-16,-53,-18.0,5.0,66.0,-0.2263930242450021,-0.0050601750547046,89.2857,2023,2047.0
MTCH,2022-01-12,124.08,,,-44,-13.0,12.0,62.0,-0.2931122884976926,-0.0152380952380952,81.4815,2023,
ALNY,2022-01-12,147.54,155.0,2022-02-25,-13,-20.0,6.0,92.0,-0.2950451526589899,-0.0033101398365197,90.9091,2023,2053.0
AMED,2022-01-12,147.02,159.9,2022-02-25,-43,-28.0,20.0,103.0,-0.2027547313052436,-0.0285449980177083,85.4545,2023,2053.0
CALX,2022-01-12,56.02,59.16,2022-08-05,-6,-9.0,11.0,66.0,-0.2994873077404025,-0.0202868135711786,84.5238,2023,2164.0
LSCC,2022-01-12,66.86,70.24,2022-11-23,-36,-23.0,11.0,47.0,-0.2133192140251794,-0.0169092780473461,97.0149,2023,2241.0
SSTK,2022-01-13,95.29,,,-38,-19.0,10.0,43.0,-0.2438501825107125,-0.0310148464510879,92.3664,2024,
POWI,2022-01-13,83.41,89.41,2022-02-09,-34,-14.0,2.0,26.0,-0.2340679522497705,-0.0119639895759299,89.7959,2024,2042.0
NYT,2022-01-13,43.34,46.02,2022-03-04,-50,-13.0,5.0,58.0,-0.2232974910394264,-0.0201220890798099,97.8261,2024,2058.0
PEGA,2022-01-13,99.02,,,-54,-23.0,8.0,81.0,-0.2424451074898631,-0.0390139751552796,100.0,2024,
MWA,2022-01-13,13.66,14.94,2023-05-05,-46,-14.0,18.0,90.0,-0.2131336405529953,-0.0050983248361252,82.6087,2024,2352.0
TTEK,2022-01-13,152.01,159.97,2022-03-04,-35,-13.0,6.0,37.0,-0.20154427986133,-0.0042578278527446,100.0,2024,2058.0
MPWR,2022-01-13,433.61,479.27,2022-02-15,-28,-19.0,1.0,15.0,-0.2471656509887667,-0.0340825555233789,95.0,2024,2046.0
INTU,2022-01-13,552.92,586.66,2023-12-11,-32,-28.0,5.0,11.0,-0.2040422652808569,-0.0421647091431938,100.0,2024,2503.0
AMED,2022-01-13,146.83,159.9,2022-02-25,-44,-27.0,18.0,111.0,-0.2037850441950002,-0.0012923411780709,83.6364,2024,2053.0
LSCC,2022-01-13,63.64,69.86,2022-11-15,-25,-22.0,9.0,49.0,-0.2512060242381456,-0.0481603350284175,95.5882,2024,2235.0
VICR,2022-01-13,108.77,,,-28,-28.0,16.0,66.0,-0.3324126925673603,-0.0341857574143137,82.6087,2024,
CALX,2022-01-13,54.68,57.75,2022-08-01,-6,-8.0,11.0,66.0,-0.316243591346755,-0.0239200285612282,83.5294,2024,2160.0
PODD,2022-01-13,242.37,256.35,2022-02-09,-39,-27.0,7.0,42.0,-0.2385246159163028,-0.0016887717274899,91.6667,2024,2042.0
DSGX,2022-01-13,71.09,76.26,2022-03-16,-37,30.0,1.0,1.0,-0.2143883302022322,-0.0269641390637831,100.0,2024,2066.0
ADSK,2022-01-13,260.17,,,-39,-28.0,10.0,52.0,-0.220207409183551,-0.0349777448071216,90.0,2024,
MTCH,2022-01-13,123.2,,,-44,-12.0,12.0,62.0,-0.2981256765225317,-0.0070921985815602,80.4878,2024,
NFLX,2022-01-13,519.2,562.0,2024-01-25,-32,-4.0,1.0,1.0,-0.2493747198889676,-0.0335430549867837,91.6667,2024,2533.0
ATRC,2022-01-13,66.93,71.15,2022-03-02,-46,-22.0,7.0,77.0,-0.231925636906128,-0.0214912280701754,88.7755,2024,2056.0
GMAB,2022-01-13,34.86,36.8,2022-03-30,-45,-23.0,12.0,85.0,-0.2601867572156197,-0.0430963491627779,86.0,2024,2076.0
MSCI,2022-01-14,526.74,554.71,2022-02-04,-39,-8.0,3.0,12.0,-0.2198178182626082,-0.0125044524849552,100.0,2025,2039.0
DXCM,2022-01-14,111.835,120.2425,2022-03-25,-14,-18.0,9.0,55.0,-0.3131161133802168,-0.0185177059107464,93.0,2025,2073.0
NYT,2022-01-14,43.04,46.02,2022-03-04,-51,-12.0,5.0,58.0,-0.228673835125448,-0.0069220119981542,95.7447,2025,2058.0
AMED,2022-01-14,146.79,159.9,2022-02-25,-45,-26.0,18.0,111.0,-0.2040019521717911,-0.0002724238915754,81.8182,2025,2053.0
BX,2022-01-14,116.12,124.28,2022-01-28,-33,-8.0,12.0,63.0,-0.2200429876410531,-0.0237094333277282,88.0952,2025,2034.0
TTEK,2022-01-14,147.82,157.74,2022-02-16,-26,-12.0,9.0,63.0,-0.2235528942115768,-0.0275639760542069,95.4545,2025,2047.0
SSTK,2022-01-14,93.48,,,-38,-18.0,10.0,43.0,-0.2582129820663386,-0.0189946479168853,91.6667,2025,
MASI,2022-01-14,233.08,,,-10,-21.0,3.0,19.0,-0.2314946091199842,-0.0193950103075434,90.9091,2025,
INTU,2022-01-14,550.79,579.4,2022-02-09,-33,-27.0,7.0,23.0,-0.2071085135174042,-0.003852275193518,91.6667,2025,2042.0
TTWO,2022-01-14,152.58,163.36,2022-01-19,-49,-15.0,5.0,26.0,-0.2090612202581514,-0.0145320674287928,92.1053,2025,2027.0
VICR,2022-01-14,108.57,,,-29,-27.0,16.0,66.0,-0.3336402135886578,-0.0018387423002665,81.8966,2025,
NXE,2022-01-14,4.61,5.3,2022-02-28,-43,-28.0,6.0,91.0,-0.2841614906832298,-0.0064655172413792,87.7778,2025,2054.0
DECK,2022-01-14,323.82,341.65,2022-08-16,-26,-13.0,19.0,76.0,-0.2611909650924024,-0.0308562535540058,84.8485,2025,2171.0
ADSK,2022-01-14,259.1,,,-40,-27.0,9.0,58.0,-0.2234144586979977,-0.0041126955452204,87.0968,2025,
VEEV,2022-01-14,223.85,236.54,2022-01-31,-32,-31.0,4.0,29.0,-0.3117601844734819,-0.0145278450363196,94.4444,2025,2035.0
ATRC,2022-01-14,65.44,69.45,2022-02-28,-47,-21.0,7.0,77.0,-0.2490245581822355,-0.0222620648438668,87.8788,2025,2054.0
LULU,2022-01-14,328.98,349.19,2022-02-02,-25,25.0,8.0,74.0,-0.3116277123307736,-0.021679007940048,89.4118,2025,2037.0
TROW,2022-01-14,174.97,,,-46,-8.0,18.0,55.0,-0.2093180893849698,-0.0131972251988043,90.4762,2025,
TECH,2022-01-14,97.5275,104.465,2022-02-02,-9,-11.0,4.0,14.0,-0.2570182455338436,-0.0190354053510359,88.8889,2025,2037.0
MANH,2022-01-14,136.21,145.29,2022-03-22,-41,-11.0,12.0,72.0,-0.2640877410989248,-0.0168892096715986,90.3226,2025,2070.0
AZTA,2022-01-14,87.57,92.19,2022-02-09,-26,-16.0,8.0,93.0,-0.2946435763189691,-0.002505980179975,91.5493,2025,2042.0
DSGX,2022-01-14,70.38,76.26,2022-03-16,-38,-31.0,17.0,34.0,-0.2222345010498397,-0.00998733999156,94.1176,2025,2066.0
BIO,2022-01-14,628.23,,,-53,-18.0,1.0,2.0,-0.2094553782654652,-0.0171005694974653,100.0,2025,
TNDM,2022-01-14,120.76,,,-11,-25.0,17.0,119.0,-0.2118007962926702,-0.0269137792103141,88.1279,2025,
