date_nr,Portfolio Value,Cash Value,HBAN Position 1 Value,MORN Position 1 Value,MTX Position 1 Value,NPO Position 1 Value,NSC Position 1 Value,NTRS Position 1 Value,RLJ Position 1 Value,ASB Position 1 Value,BOX Position 1 Value,VAC Position 1 Value,CFR Position 1 Value,FBP Position 1 Value,FBP Position 2 Value,PINC Position 1 Value,TGNA Position 1 Value,LBTYA Position 1 Value,WNS Position 1 Value,WNS Position 2 Value,WNS Position 3 Value,VLY Position 1 Value,AGYS Position 1 Value,FHN Position 1 Value,SUPN Position 1 Value,CHDN Position 1 Value,EXLS Position 1 Value,CWEN Position 1 Value,IRDM Position 1 Value,MTZ Position 1 Value,NEP Position 1 Value,NEP Position 2 Value,VGR Position 1 Value,CPB Position 1 Value,AES Position 1 Value,BIP Position 1 Value,ROIC Position 1 Value,NOK Position 1 Value,OLN Position 1 Value,OLN Position 2 Value,HI Position 1 Value,APPF Position 1 Value,FLEX Position 1 Value,FLEX Position 2 Value,ERF Position 1 Value,ERF Position 2 Value,FLEX Position 3 Value,HUM Position 1 Value,HAE Position 1 Value,AGI Position 1 Value,Scaled ^GSPC,Investment Value
2345,10000.000098999999,2.29999999999983,1992.72,1906.19995,1958.950035,1938.3000630000001,1809.180036,382.400015,9.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0
2346,9941.770070999997,2.29999999999983,2051.6,1720.29999,1961.400035,2003.400042,1807.740009,385.149995,9.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10195.661498661637,10000.0
2347,10128.139858000002,2.29999999999983,2060.7999999999997,1783.09998,2074.0999300000003,1979.6699370000001,1827.2699910000001,390.80002,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10279.808358205539,10000.0
2348,10158.159912000001,2076.39993,2022.16,1818.3000200000001,0.0,1968.539958,1877.490009,385.149995,10.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10275.839258173317,10045.833333333334
2349,10082.429916000001,2074.87993,1895.2,1815.29999,0.0,2079.0,1835.009991,373.050005,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10156.780682784673,10045.833333333334
2350,10032.530002,2079.7799999999997,1852.88,1821.30005,0.0,0.0,1826.819964,365.999985,10.13,1997.5,78.120003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10085.700433397766,10045.833333333334
2351,9834.509937,2079.7799999999997,1736.9599999999998,1843.60001,0.0,0.0,1835.369937,357.99999,10.24,1892.5,78.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10012.894462296244,10045.833333333334
2352,9929.160178999999,0.7799999999996317,1812.3999999999999,1862.10007,0.0,0.0,1878.4800089999999,365.149995,10.74,1972.5,79.71000000000001,1947.300105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10197.880197431157,10045.833333333334
2353,9815.829915,11.519999999999632,1794.0,1871.90002,0.0,0.0,1863.720018,365.099985,0.0,1898.75,80.63999700000001,1930.199895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10202.490950920715,10045.833333333334
2354,9930.819848,11.519999999999632,1803.2,1875.39993,0.0,0.0,1874.700027,360.699995,0.0,1868.75,81.36000299999999,1926.449895,96.099998,32.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10155.769447547378,10045.833333333334
2355,9869.910045999999,0.7799999999996317,1762.72,1904.60007,0.0,0.0,1876.5,357.05002,0.0,1871.25,81.30000000000001,1875.299955,96.970001,32.58,10.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10201.307565357181,10045.833333333334
2356,9781.849949999998,0.7799999999996317,1707.52,1895.0,0.0,0.0,1892.789982,352.599985,0.0,1848.75,80.01,1865.849985,95.669998,32.160000000000004,10.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10183.9997810251,10045.833333333334
2357,9772.970086999994,0.7799999999996317,1707.52,1899.40002,0.0,0.0,1907.190036,349.65000000000003,0.0,1838.75,79.53,1849.95003,97.360001,32.13,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10167.875384722041,10045.833333333334
2358,9897.500118,1907.9700359999997,1759.0400000000002,1923.50006,0.0,0.0,0.0,354.19998,0.0,1868.75,81.03,1859.700045,99.629997,32.76,10.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10197.953632030536,10045.833333333334
