Ticker,m20tmrw,Close,63d %,daily delta,previous daily delta,63d peak,chance,Earnings Offset Closest,Overall Record,average_duration,total_days_below_threshold
AMH,29.808,35.62,-0.0440150295222758,-0.0113794060505135,-0.0082576383154416,37.26,0,23,13 - 0 (100.00%),7.0,14.0
AMN,63.304,61.78,-0.2192594464804751,-0.0085058578077354,-0.025340215861098,79.13,0,-26,81 - 24 (77.14%),23.0,236.0
AMX,15.56,18.26,-0.0611825192802055,-0.0076086956521737,-0.0005431830526888,19.45,0,-19,41 - 3 (93.18%),2.0,5.0
AMRC,26.024,20.61,-0.3664309867814326,0.0472560975609754,-0.0030395136778115,32.53,0,19,119 - 26 (82.07%),27.0,383.0
AMKR,28.872000000000003,31.56,-0.1255195344970907,-0.0097270160025102,0.0069510268562402,36.09,0,-28,120 - 10 (92.31%),14.0,162.0
ANET,245.13600000000002,297.83,-0.0280334181841916,-0.0251063829787234,-0.0030024149859669,306.42,0,-28,70 - 3 (95.89%),14.0,86.0
AMZN,143.768,178.3,-0.0078459740693339,-0.0078459740693339,0.0046961480404763,179.71,0,-21,53 - 3 (94.64%),23.0,188.0
ANSS,290.30400000000003,349.84,-0.0359347442680776,0.0066758747697974,-0.004924979956477,362.88,0,24,56 - 8 (87.50%),77.0,701.0
AMP,348.58400000000006,431.22,-0.0103504463773437,-0.0006720585849689,0.0031383671192113,435.73,0,-18,44 - 1 (97.78%),11.0,45.0
AMT,175.048,194.1,-0.1129290251816644,-0.0074657394150133,0.0143679651434203,218.81,0,20,21 - 2 (91.30%),27.0,54.0
APAM,36.304,44.4,-0.0215954164830322,0.0093203000681971,-0.0090110385221896,45.38,0,-29,62 - 21 (74.70%),74.0,672.0
AN,132.232,161.94,-0.0202674087966603,0.0011127596439168,-0.0028356552829491,165.29,0,-16,55 - 6 (90.16%),8.0,49.0
AOS,71.904,87.88,-0.0222518914107698,-0.0018173557473877,-0.0138888888888888,89.88,0,-21,46 - 19 (70.77%),32.0,260.0
APA,29.832,32.88,-0.1182622687047465,-0.0494362532523851,0.0337716676628812,37.29,0,24,154 - 19 (89.02%),12.0,202.0
AON,263.93600000000004,329.92,0.0071432932413457,0.0071432932413457,0.0024174546344746,329.92,0,-22,18 - 0 (100.00%),7.0,22.0
APLE,13.616,16.25,-0.0452408930669799,-0.0006150061500616,-0.0133495145631067,17.02,0,23,39 - 1 (97.50%),3.0,18.0
APD,220.55200000000002,237.83,-0.1373281584388261,0.001136554975585,0.0035908918085421,275.69,0,-34,14 - 2 (87.50%),350.0,700.0
APH,91.536,113.34,-0.009438909281594,-0.0077044300472771,-0.0017479461632582,114.42,0,-20,9 - 0 (100.00%),0.0,0.0
APPF,198.96800000000002,248.71,0.0271754842440012,0.0981058766391451,-0.0292731013200753,248.71,0,-21,49 - 11 (81.67%),5.0,27.0
