Scenario,Base Path,Total Portfolio Scenarios,Percentage > GSPC,Percentage > CD,Percentage > 0,min portfolio return,max portfolio return,min GSPC return,max GSPC return,Total Portfolio Scenarios (-63d),Percentage > GSPC (-63d),Percentage > CD (-63d),Percentage > 0 (-63d),min portfolio return (-63d),max portfolio return (-63d),min GSPC return (-63d),max GSPC return (-63d)
"UNIQUE POSITIONS Pwin >= 80 and earnings [-63,40), average duration <=21, daily delta >= -0.05, 63 d% >= -0.36, <126 days below threshold",sweep/Unique_Pwin80plus_earnings_neg63to40_avrgdurationLT21_GTnegpt5dd_mmGTnegpt35/start10000/,10.0,50.0,30.0,90.0,-2.593199626077836,36.02301533193093,7.166729310801112,9.286087945675892,10.0,50.0,30.0,90.0,-2.593199626077836,36.02301533193093,7.166729310801112,9.286087945675892
dads filter,sweep/dads_filter/start10000/,2020.0,49.801980198019805,92.27722772277228,96.38613861386138,-25.85528134532239,56.08460053000002,0.0,43.61299839118571,1980.0,49.64646464646464,92.27272727272727,96.41414141414143,-25.85528134532239,56.08460053000002,7.166729310801112,43.61299839118571
dads filter 80,sweep/dads_filter_80/start10000/,3277.0,37.10711016173329,90.20445529447666,96.33811412877633,-34.16087623944387,54.62343337696862,0.0,43.61299839118571,3181.0,36.372209996856334,90.06601697579377,96.32191134863251,-34.16087623944387,54.62343337696862,7.166729310801112,43.61299839118571
dads filter earn,sweep/dads_filter_earn/start10000/,1640.0,31.585365853658537,82.2560975609756,93.71951219512195,-32.95814055273302,47.92057517627582,0.0,43.61299839118571,1606.0,30.82191780821918,82.06724782067248,93.71108343711083,-32.95814055273302,47.92057517627582,7.166729310801112,43.61299839118571
