date_nr,Portfolio Value,Cash Value,IRDM Position 1 Value,CCOI Position 1 Value,IRDM Position 2 Value,IRDM Position 3 Value,MTZ Position 1 Value,NEP Position 1 Value,DKL Position 1 Value,FTNT Position 1 Value,DFS Position 1 Value,IRDM Position 4 Value,TTC Position 1 Value,BLDR Position 1 Value,NYCB Position 1 Value,VGR Position 1 Value,NYCB Position 2 Value,BIP Position 1 Value,ROIC Position 1 Value,NOK Position 1 Value,AEIS Position 1 Value,VSH Position 1 Value,HI Position 1 Value,APPF Position 1 Value,FLEX Position 1 Value,FLEX Position 2 Value,ERF Position 1 Value,ERF Position 2 Value,RRC Position 1 Value,ELP Position 1 Value,FLEX Position 3 Value,HUM Position 1 Value,HAE Position 1 Value,LEG Position 1 Value,AGI Position 1 Value,AGI Position 2 Value,Scaled ^GSPC,Investment Value
2412,10000.0,8014.51,1985.4899999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0
2413,9964.899912,4083.9600000000005,1950.389922,1980.160068,1950.389922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9974.52026159732,10000.0
2414,9964.860152000001,2095.9600000000005,1938.300039,2004.300034,1938.300039,1988.00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9921.654563583763,10000.0
2415,9977.620104,23.940000000000538,1944.540039,1998.18,1944.540039,1994.40004,1922.79998,149.22000599999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10011.188494339547,10000.0
2416,9844.189822,23.940000000000538,1931.6699609999998,1977.4399999999998,1931.6699609999998,1981.19996,1853.99994,144.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9968.95846896738,10000.0
2417,9908.52031,23.940000000000538,1946.100078,1984.240034,1946.100078,1996.00008,1865.20004,146.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9898.789657854919,10000.0
2418,10298.250269999999,23.940000000000538,1985.100078,2242.9800339999997,1985.100078,2036.00008,1881.3999999999999,143.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9901.27142204104,10000.0
2419,10299.070324,2266.920034,1985.100078,0.0,1985.100078,2036.00008,1882.40006,143.549994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9890.680108516397,10000.0
2420,10261.690218,2266.920034,1971.060039,0.0,1971.060039,2021.6000399999998,1889.60006,141.450006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9947.5562242981,10000.0
2421,10215.019935,9.110000000000468,1960.9199609999998,0.0,1960.9199609999998,2011.19996,1875.8000200000001,139.259994,1961.9600489999998,295.84999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9832.65290234758,10000.0
