Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,89.932037,90.116508,89.291260,89.553398,82.687340,894864
2014-01-03,89.883492,91.155342,89.718445,89.941750,83.045914,1326846
2014-01-06,91.058250,91.262138,90.223305,90.524269,83.583763,1457347
2014-01-07,90.699028,92.349518,90.699028,92.330093,85.251144,1908178
2014-01-08,93.019417,94.640778,92.699028,94.592232,87.339844,1936915
2014-01-09,94.660194,94.766991,93.524269,93.660194,86.479240,1392045
2014-01-10,93.495148,94.291260,93.097084,93.864075,86.667526,1392354
2014-01-13,93.796120,94.291260,92.621361,92.864075,85.744156,1044214
2014-01-14,93.339806,94.097084,92.970871,93.980583,86.775085,737789
2014-01-15,94.126213,95.009712,93.621361,94.864075,87.590813,1011769
2014-01-16,94.951454,94.970871,94.097084,94.223305,86.999176,899293
2014-01-17,94.155342,94.165047,92.854370,93.135925,85.995186,1116005
2014-01-21,94.601944,94.873787,92.941750,93.640778,86.461319,862934
2014-01-22,93.660194,93.873787,92.970871,93.601944,86.425476,764157
2014-01-23,93.563110,94.067963,92.077667,92.601944,85.502144,1025880
2014-01-24,91.650482,92.194176,90.524269,90.640778,83.691360,1065329
2014-01-27,90.805824,91.349518,89.805824,90.495148,83.556877,998173
2014-01-28,90.679611,92.165047,90.601944,91.533981,84.516060,1090873
2014-01-29,90.669907,91.582527,90.213593,90.504852,83.565804,1518323
2014-01-30,91.009712,92.601944,90.194176,90.330093,83.404457,1966270
2014-01-31,90.766991,91.669907,89.805824,91.233009,84.238174,1517705
2014-02-03,91.262138,91.446602,88.126213,88.223305,81.459198,1216636
2014-02-04,88.669907,89.106796,88.155342,88.660194,81.862610,1176672
2014-02-05,88.359222,89.815536,88.135925,89.495148,82.633537,1226009
2014-02-06,89.349518,90.048546,89.194176,89.854370,82.965248,910108
2014-02-07,90.106796,91.873787,89.951454,91.737862,84.704308,1205718
2014-02-10,91.339806,92.902916,91.339806,92.766991,85.654526,1409864
2014-02-11,92.495148,93.067963,92.155342,92.951454,85.824875,1124142
2014-02-12,92.766991,93.194176,91.699028,92.621361,85.520073,1018876
