date_nr,Portfolio Value,Cash Value,IRDM Position 1 Value,IRDM Position 2 Value,MTZ Position 1 Value,NEP Position 1 Value,CPB Position 1 Value,NEP Position 2 Value,VGR Position 1 Value,CPB Position 2 Value,WBA Position 1 Value,AES Position 1 Value,ABEV Position 1 Value,LEG Position 1 Value,APPF Position 1 Value,FLEX Position 1 Value,ERF Position 1 Value,ERF Position 2 Value,HAE Position 1 Value,LEG Position 2 Value,AGI Position 1 Value,Scaled ^GSPC,Investment Value
2413,9999.999922,8049.610000000001,1950.389922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0
2414,9987.910079000001,6061.610000000001,1938.300039,1988.00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9946.99925748099,10000.0
2415,10000.550138999999,2149.21,1944.540039,1994.40004,1922.79998,1989.60008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10036.76190110456,10000.0
2416,9839.679907,12.679999999999808,1931.6699609999998,1981.19996,1853.99994,1923.6000000000001,1992.2600459999999,144.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9994.42399986759,10000.0
2417,9948.740244,12.679999999999808,1946.100078,1996.00008,1865.20004,1959.1999999999998,2022.6200460000002,146.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9924.075943748423,10000.0
2418,9999.770066,12.679999999999808,1985.100078,2036.00008,1881.3999999999999,1916.3999999999999,2024.459908,143.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9926.564047557964,10000.0
2419,10000.030086000002,12.679999999999808,1985.100078,2036.00008,1882.40006,1913.99992,2026.299954,143.549994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9915.945678707261,10000.0
2420,9931.670225,12.679999999999808,1971.060039,2021.6000399999998,1889.60006,1886.00008,2009.28,141.450006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9972.967083536805,10000.0
2421,9834.199947,12.679999999999808,1960.9199609999998,2011.19996,1875.8000200000001,1856.79992,1977.540092,139.259994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9857.770243050245,10000.0
2422,9781.19967,2.099999999999808,1930.889922,1980.39992,1871.79992,1870.8000000000002,1974.319908,140.31,10.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9783.290893311285,10000.0
2423,9593.010037,2.099999999999808,1894.23,1942.8,1861.6000399999998,1798.00004,1949.019954,134.85000300000002,10.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9707.833221164186,10000.0
2424,9664.65005,2.099999999999808,1880.189961,1928.3999600000002,1883.20008,1851.19996,1970.180092,138.83999699999998,10.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9706.389600861998,10000.0
2425,9598.639888,2.099999999999808,1885.649922,1933.99992,1906.3999999999999,1790.8000000000002,1934.7600459999999,134.31,10.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9773.161685664652,10000.0
2426,9608.010080000002,2.099999999999808,1872.7800000000002,1920.8000000000002,1940.20004,1799.60008,1926.9399540000002,134.97000599999998,10.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9746.017053903062,10000.0
2427,9719.159963999999,2.099999999999808,1892.6699609999998,1941.19996,1941.6000399999998,1868.3999600000002,1922.3400459999998,140.129997,10.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9853.660642540908,10000.0
2428,9675.839958,2.099999999999808,1873.1699609999998,1921.19996,1913.20008,1891.99996,1921.42,141.89999699999998,10.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9721.050327354978,10000.0
2429,9729.360030000002,2.099999999999808,1864.199961,1911.99996,1927.40006,1931.99996,1935.680092,144.89999699999998,11.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9786.356012534561,10000.0
2430,9832.049937,2.099999999999808,1880.9699999999998,1929.1999999999998,1975.59998,1944.79996,1942.58,145.859997,10.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9847.663812503206,10000.0
2431,9984.159911,2.099999999999808,1891.5,1940.0,2015.0,2027.59996,1944.8799539999998,152.069997,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9990.536743744618,10000.0
2432,9924.21003,154.1699969999998,1895.790039,1944.40004,1988.6000000000001,2000.0,1930.1599540000002,0.0,11.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10028.832289560602,10000.0
2433,9935.130121999997,154.1699969999998,1909.050039,1958.00004,1989.79996,1995.20004,1918.200046,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10012.816880964236,10000.0
2434,9882.979812000001,2.099999999999808,1931.6699609999998,1981.19996,1989.40002,1963.99992,1880.9399540000002,0.0,11.0,122.66999700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10030.83123438736,10045.833333333334
2435,9757.050188,2.099999999999808,1902.810039,1951.6000399999998,1912.20002,1935.20004,1896.1200460000002,0.0,10.63,123.66000300000002,22.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9988.760145525514,10045.833333333334
2436,9678.990079000001,2.099999999999808,1900.860078,1949.60008,1877.40006,1901.99996,1890.599908,0.0,10.49,123.299994,22.639999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9919.122511007647,10045.833333333334
2437,9600.019903,2.099999999999808,1859.129922,1906.79992,1849.60006,1900.8000000000002,1923.72,0.0,10.37,125.46000000000001,22.040001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9887.269572433815,10045.833333333334
2438,9617.579961000003,2.099999999999808,1857.179961,1904.79996,1834.79996,1919.60008,1940.28,0.0,10.29,126.53999999999999,21.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9901.374974402223,10045.833333333334
