symbol,Buy Date,Buy Price,Last,Target,1d%,63d%,Sell Date,Sell Price,RTD,RTD (GSPC),Earnings
LULU,3/25/2024,387.78,,408.35,,,,,,,
LULU,3/25/2024,389.02,,408.35,,,,,,,
SJW,2/28/2024,55.26,,61.619881,,,,,,,
TSLA,3/5/2024,179.7289,,190.445738,,,,,,,
NKE,3/6/2024,97.4,,102.736049,,,,,,,
IONS,3/14/2024,41.75,,44.64753,,,,,,,
PYPL,7/30/2021,276.4928,,,,,,,,,
ICUI,8/3/2023,169.47,,,,,,,,,
PODD,8/3/2023,264.35,,,,,,,,,
YELP,2/20/2024,37.19,,,,,3/21/2024,38.97,,,
DIOD,3/14/2024,65,,,,,3/21/2024,68.68,,,
ABR,3/4/2024,12.65,,,,,3/21/2024,13.31,,,
WAFD,3/14/2024,26.5,,,,,3/20/2024,28.35,,,
CHRW,3/5/2024,69.15,,,,,3/6/2024,74.1,,,
AES,2/27/2024,15.0887,,,,,3/4/2024,16.15,,,
ACLS,2/20/2024,111.85,,,,,3/7/2024,118,,,
ALNY,2/16/2024,147.4369,,,,,2/21/2024,154.845,,,
ABM,1/16/2024,41.515,,,,,3/20/2024,44,,,
MUR,1/16/2024,38.285,,,,,3/1/2024,40.403808,,,
ASH,6/23/2023,82.0414,,,,,7/19/2023,90.56,,,
MTDR,3/9/2023,53.045,,,,,7/19/2023,56,,,
QQQ,4/29/2022,315.8199,,,,,6/15/2023,371,,,
SPY,4/29/2022,414.4484,,,,,6/15/2023,443,,,
MSFT,12/17/2021,322.4889,,,,,7/18/2023,356.66,,,
GLOB,9/28/2021,288.7884,,,,,5/19/2023,166.4537,,,
DECK,9/24/2021,390.3333,,,,,11/22/2021,444.3577,,,
EL,9/20/2021,310.26,,,,,12/9/2021,360.4124,,,
WMS,9/15/2021,105.335,,,,,11/22/2021,133.605,,,
DECK,9/8/2021,400.94,,,,,11/22/2021,444.3577,,,
STAA,7/14/2021,129.6958,,,,,8/5/2021,152.76,,,
RNG,3/4/2021,325.5601,,,,,11/10/2022,37.0913,,,
RNG,3/4/2021,325.76,,,,,11/10/2022,37.0913,,,
ENPH,2/22/2021,171.8592,,,,,10/27/2021,213.2717,,,
ENPH,2/22/2021,171.4388,,,,,10/27/2021,213.2717,,,
NICE,2/19/2021,246.1778,,,,,7/23/2021,287.0352,,,
SHOP,1/29/2021,109.61539,,,,,1/25/2023,46.6238,,,
CHDN,1/27/2021,187.25,,,,,2/22/2021,227.1185,,,
HUBS,1/27/2021,361.43,,,,,2/12/2021,516,,,
TEAM,1/27/2021,221.535,,,,,6/14/2021,250.3917,,,
DHR,11/25/2020,216.5576,,,,,4/13/2021,242.905,,,
PEN,11/25/2020,224.9196,,,,,1/25/2021,279.435,,,
CHDN,10/28/2020,160.095,,,,,11/9/2020,184.72,,,
ENV,10/28/2020,77.1905,,,,,11/3/2020,81.0276,,,
MOH,10/28/2020,194.92,,,,,11/3/2020,211.866,,,
NICE,10/22/2020,225.185,,,,,11/3/2020,235.2184,,,
CVNA,10/20/2020,200.7236,,,,,11/17/2020,219.74,,,
PYPL,9/8/2020,186.895,,,,,10/1/2020,198.8755,,,
SNPS,9/8/2020,200.05,,,,,9/28/2020,211.98,,,
