date_nr,Portfolio Value,Cash Value,CATY Position 1 Value,CDW Position 1 Value,CFR Position 1 Value,FHN Position 1 Value,FULT Position 1 Value,HBAN Position 1 Value,FBP Position 1 Value,BOX Position 1 Value,ACHC Position 1 Value,PSEC Position 1 Value,HRB Position 1 Value,LDOS Position 1 Value,PINC Position 1 Value,TGNA Position 1 Value,LBTYA Position 1 Value,CMC Position 1 Value,WAFD Position 1 Value,BKU Position 1 Value,WNS Position 1 Value,WNS Position 2 Value,WNS Position 3 Value,AGYS Position 1 Value,VLY Position 1 Value,NOK Position 1 Value,FHN Position 2 Value,EXLS Position 1 Value,EXLS Position 2 Value,CHDN Position 1 Value,FHN Position 3 Value,CWEN Position 1 Value,IRDM Position 1 Value,NEP Position 1 Value,CPB Position 1 Value,NEP Position 2 Value,CPB Position 2 Value,TTC Position 1 Value,BOX Position 2 Value,AES Position 1 Value,NYCB Position 1 Value,BIP Position 1 Value,AEIS Position 1 Value,HI Position 1 Value,APPF Position 1 Value,FLEX Position 1 Value,FLEX Position 2 Value,ERF Position 1 Value,ELP Position 1 Value,FLEX Position 3 Value,HUM Position 1 Value,HAE Position 1 Value,LEG Position 1 Value,AGI Position 1 Value,AGI Position 2 Value,Scaled ^GSPC,Investment Value
2342,9999.999981,1.510000000000204,1992.5999400000003,1957.5600600000002,1969.159981,1989.25,1998.4,91.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0
2343,9955.769986000001,1.510000000000204,1951.2000000000003,1991.280024,1958.899962,1996.88,1966.3999999999999,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10008.515790374715,10000.0
2344,9657.080069,1.510000000000204,1866.0,1981.3200120000001,1918.6200569999999,1917.31,1884.8,87.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9850.272560189513,10000.0
2345,9688.14985,1.510000000000204,1849.2,1981.4399399999998,1965.930019,1904.2298910000002,1899.1999999999998,86.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9812.435818322227,10000.0
2346,9885.909991,1.510000000000204,1862.40006,2016.3599880000002,2095.129943,1917.31,1904.0,89.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10004.427408095631,10000.0
2347,9955.269846000001,2096.639943,1912.20006,2035.079952,0.0,1912.949891,1908.8,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10086.995973954423,10000.0
2348,9910.280027,2096.639943,1885.8,2043.840084,0.0,1909.68,1886.3999999999999,87.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10083.101320022155,10045.833333333334
2349,9479.590087,1.510000000000204,1755.0,2014.3200120000001,0.0,1764.7101089999999,1771.2,82.4,11.06,130.299995,1949.0899709999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9966.27585705996,10045.833333333334
2350,9305.89999,1.510000000000204,1751.40006,1979.6400119999998,0.0,1640.45,1740.8000000000002,80.56,10.79,130.200005,1970.5499129999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9896.528818554023,10045.833333333334
2351,8612.960041000002,1.510000000000204,1726.2,1966.3200120000001,0.0,1096.54,1625.6,75.52,10.76,130.1,1980.4100290000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9825.088426691593,10045.833333333334
